stock_id,近一日收盤價,近一季股本,近一季合約負債_流動,當月營收,rev_year_growth_營收年增率,rev_month_growth_營收月增率,累計營收,近3月平均營收,近12月平均營收,近一季營業毛利率,最近一季營業毛利年增率,近一季營業利益率,近一季營業利益年增率,近一季稅後淨利率,近一季稅後淨利率,近一季稅後淨利年增率,近一季每股盈餘EPS,eps_growth_rate_EPS年增率,近一日殖利率,近一季存貨,最近一日外資買賣超張數,最近一日投信買賣超張數,name,category,A+B+C+D+E,外資+投信
6552,8,5,6,8,9,2,8,8,8,5,9,2,8,5,5,9,6,1,6,7,7,5,易華電,"['半導體', '半導體:基板']",36,12
2231,5,10,8,9,6,7,8,8,10,2,2,2,2,4,4,4,3,3,5,8,7,5,為升,"['汽車', '汽車:整車組裝、修理及技術服務']",17,12
6715,10,10,8,8,8,8,8,8,8,10,2,9,2,9,9,2,9,8,9,7,10,5,無資料,無資料,22,15
9921,7,10,6,9,3,5,8,9,8,2,1,2,1,2,2,3,2,3,3,8,9,6,巨大,"['其他', '其他:其他']",11,15
2066,10,10,9,9,3,4,9,10,10,9,6,6,6,7,7,7,10,8,5,8,9,6,世德,"['電動車輛產業', '電動車輛產業:大功率鋰電池芯_模組、電池管理系統、動力馬達等零組件', '電機機械', '電機機械:五金元件及零配件', '電機機械:機械設備之沖壓零組件', '電機機械:車用機械傳動設備及零配件']",30,15
3324,10,10,6,10,10,9,9,10,10,10,6,7,5,10,10,7,10,8,4,10,10,8,雙鴻,"['電腦及週邊設備', '電腦及週邊設備:散熱片、風扇馬達、散熱模組']",36,18
5608,5,5,10,6,5,8,7,6,6,4,8,4,7,3,3,6,3,7,3,2,1,6,四維航,"['交通運輸及航運', '交通運輸及航運:散裝航運']",33,7
3013,10,10,10,10,10,6,9,10,10,8,7,6,6,8,8,8,8,9,4,6,10,6,晟銘電,"['電腦及週邊設備', '電腦及週邊設備:機殼']",40,16
3576,4,7,10,2,2,8,4,2,3,5,3,4,2,4,4,2,7,2,4,1,1,6,聯合再生,"['太陽能產業', '太陽能產業:太陽能電池', '太陽能產業:太陽能電池模組']",11,7
3625,5,9,5,4,2,9,5,3,6,3,2,2,3,2,2,2,4,2,4,2,1,6,西勝,"['能源元件', '能源元件:電池模組', '電動車輛產業', '電動車輛產業:大功率鋰電池芯_模組、電池管理系統、動力馬達等零組件', '電腦及週邊設備', '電腦及週邊設備:電池']",11,7
