date,PR5,PR25,PR50,PR75,PR95,平均數,sharpe,sharpe_MA_20,sharpe_MA_60
2011-02-18,100.0,107.0,114.0,124.025,215.0,130.5558052434457,1.063253705824178,-0.12465981031759096,
2011-02-21,100.035,107.0,114.0,124.775,215.0,130.82742537313433,1.104487669431884,-0.04507552324844816,
2011-02-22,100.03,106.475,113.5,124.2,214.7,130.325468164794,0.956560032278511,0.02607254524721337,
2011-02-23,100.0,106.4875,113.0,122.88749999999999,214.64999999999998,129.7285447761194,0.827823043250394,0.09356114852943634,
2011-02-24,100.0,106.975,113.0,122.42500000000001,214.64999999999998,129.84720149253732,0.8153423111828552,0.16916820545112565,
2011-02-25,100.0,106.875,113.0,123.69999999999999,214.64999999999998,130.01063432835824,0.8546642066097481,0.2472714691038635,
2011-03-01,100.0,107.0,113.0,123.75,214.54999999999998,130.08759259259256,0.8705082424493856,0.3284501950862239,
2011-03-02,100.0,107.0,113.0,122.875,213.54999999999998,129.57462962962964,0.7103510312840458,0.4012101338400836,
2011-03-03,100.0,106.975,113.3,123.85,214.45,129.77922794117646,0.691806919161846,0.4677823056893017,
2011-03-04,100.0,107.0,113.85,124.35,214.45,130.0,0.6408172055096039,0.5276182573408612,
2011-03-07,100.0,107.0,113.775,124.35,214.45,130.40919117647059,0.6692780493309664,0.5796189861318505,
2011-03-08,100.0,107.0,113.5,124.05000000000001,214.45,130.43786764705882,0.6023570913057904,0.6185650168901592,
2011-03-09,100.0,107.0,113.875,125.0,214.45,130.72426470588235,0.529832283429865,0.6520755996851122,
2011-03-10,100.0,106.95,114.0,124.15,215.0,130.62583025830259,0.4841977291922415,0.6800272319735707,
2011-03-11,100.0,106.85,113.5,123.25,215.0,130.5481549815498,0.4868902666643189,0.7064419328067142,
2011-03-14,100.0,106.5,112.9,122.25,214.45,130.12132352941177,0.36333995206204345,0.7274994317994047,
2011-03-15,99.955,105.9375,112.0,120.325,214.45,128.85220588235296,0.12428816789667176,0.7089402036172541,
2011-03-16,100.0,105.57499999999999,112.0,121.2,214.45,128.9108455882353,0.11122524378543867,0.688442339621327,
2011-03-17,100.0,105.45,111.95,120.975,214.0,128.35295202952028,0.012121196759732347,0.6486118489071281,
2011-03-18,100.0,105.5,112.0,121.4,213.5,128.5990774907749,-0.06885447835467927,0.592514493452742,
2011-03-21,100.0,105.75,112.0,120.75,209.0,127.42749077490774,-0.4430460956553703,0.5171995033787645,
2011-03-22,100.0,105.7,112.0,121.82499999999999,213.5,127.62730627306273,-0.5255961100968429,0.4356953144023283,
2011-03-23,100.0,105.75,112.0,121.875,213.5,127.82250922509226,-0.6008890645858873,0.3578228595591083,
2011-03-24,100.0,105.8875,112.0,121.575,213.45,127.49963235294118,-0.6859212146983971,0.2821356466616688,
2011-03-25,99.955,106.0,112.0,121.125,213.45,127.4779411764706,-0.6529855949919974,0.20871925135292618,
2011-03-28,99.9325,105.9875,112.0,120.0,212.45,127.29705882352943,-0.6808148292098724,0.13194529956194515,
2011-03-29,99.8,105.8375,111.6,120.1875,208.14999999999992,126.47463235294114,-0.8768216563363646,0.04457880462265765,
2011-03-30,99.94,106.0,111.6,120.1,207.79999999999984,126.50604395604394,-0.9432570465417788,-0.03810159926863359,
2011-03-31,99.9,106.0,112.0,120.0,207.79999999999984,126.58827838827838,-0.9447533107889882,-0.1199296107661753,
2011-04-01,99.8,105.9,112.0,119.85,207.79999999999984,126.6606227106227,-0.9483340555068822,-0.1993871738169996,
2011-04-06,99.83,105.9,112.0,120.0,205.79999999999995,126.77380952380952,-0.9389663489360687,-0.27979939373035134,
2011-04-07,99.8,106.0,112.0,120.0,205.79999999999995,126.93553113553114,-0.9697308828596278,-0.35840379243862225,
